22/29PH106,1,ND 2,2022/2023,EED 216,59
22/29PH106,1,ND 2,2021/2022,COM 216,70
22/29PH106,1,ND 2,2021/2022,SIW  219,39
22/29PH106,1,ND 2,2021/2022,GNS 201,41
22/29PH106,1,ND 2,2021/2022,EED 216,80
22/29PH106,1,ND 2,2022/2023,COM 111,98
22/29PH106,1,ND 2,2022/2023,COM 113,76
22/29PH106,1,ND 2,2022/2023,GNS 127,54
22/29PH106,1,ND 2,2022/2023,COM 211,64
22/29PH106,1,ND 2,2022/2023,COM 212,75
22/29PH106,1,ND 2,2022/2023,COM 215,57
22/29PH106,1,ND 2,2022/2023,SIW  219,54
22/29PH106,1,ND 2,2021/2022,COM 215,43
22/29PH106,1,ND 2,2021/2022,COM 214,75
22/29PH106,1,ND 2,2021/2022,COM 112,90
22/29PH106,1,ND 2,2021/2022,COM 113,65
22/29PH106,1,ND 2,2021/2022,COM 114,54
22/29PH106,1,ND 2,2021/2022,COM 115,27
22/29PH106,1,ND 2,2021/2022,MTH 111,46
22/29PH106,1,ND 2,2021/2022,GNS 101,84
22/29PH106,1,ND 2,2021/2022,GNS 127,37
22/29PH106,1,ND 2,2021/2022,GNS 100,87
22/29PH106,1,ND 2,2021/2022,COM 211,79
22/29PH106,1,ND 2,2021/2022,COM 212,68
22/29PH106,1,ND 2,2021/2022,COM  213,36
